# Quranic concepts and their canonical code names.
#
# code            the canonical code name (rules 001, 008)
# display         the name readers see (rule 038)
# origin          quranic: a transliterated Arabic term (rule 002); borrowed: a
#                 compound mixing both (rule 004); standard: a general concept
#                 with an English name (rule 003). In mixed names, spelling
#                 rules apply only to the Arabic components.
# plural          only when it is not code + "s" (rule 049)
# arabic          the vocalised Arabic name (rule 039)
# other_spellings names that no rule predicts, reported as rule 001
# english         English equivalents used in place of the term (rules 001, 003)
# arabic_plurals  Arabic plurals used as collection names (rule 049)
# former_names    deprecated names (rule 046)
#
# Lists are comma-separated. Spellings the rules predict (tajweed, sura,
# al_fatihah, ...) are generated by rules.py and do not belong here.
code	display	origin	plural	arabic	other_spellings	english	arabic_plurals	former_names
abrogation	Abrogation	borrowed		النَّسْخ	nasikh_mansukh,nasikh_wa_mansukh,nasekh_mansokh			
asbab_al_nuzul	Asbab al-Nuzul	quranic		أَسْبَاب النُّزُول	asbab_al_nozool,asbab_un_nuzul			
ayah	Ayah	quranic		الآيَة		verse	ayat,ayaat	
ayah_count	Ayah Count	standard		عَدَد الآيَات	number_of_ayahs,adad_al_ayat,adad_al_ay	verse_count		
ayah_ending	Ayah Ending	borrowed		الفَاصِلَة	fasila	verse_ending		
ayah_fragment	Ayah Fragment	standard		مَقْطَع الآيَة	ayah_segment,ayah_part,line_ayah,g_ayah		mqata_al_ayat	
ayah_key	Ayah Key	standard			ayah_ref,ayah_reference	verse_key		
ayah_mark	Ayah Mark	quranic		عَلَامَة الآيَة	end_of_ayah,ayah_marker,ayah_separator			
ayah_numbering_system	Ayah Numbering System	standard		نِظَام عَدّ الآي	ayah_counting_system			
ayah_timing	Ayah Timing	standard			ayah_timestamp,recitation_timing,timing	verse_timing		
basmalah	Basmalah	quranic		البَسْمَلَة	bismillah			
character	Character	borrowed						
codepoint	Codepoint	borrowed						
dammah	Dammah	quranic		الضَّمَّة				
disputed	Disputed	standard		مُخْتَلَف فِيه	mukhtalaf_fih,revelation_disputed			
division_mark	Division Mark	quranic		عَلَامَة التَّقْسِيم	hizb_mark,juz_mark,rub_el_hizb_mark,rub_mark			alamat_al_tahzib
dot	Dot	quranic		النُّقْطَة	nuqtah			
equivalent_ayah	Equivalent Ayah	standard		الآيَة المُقَابِلَة				
fathah	Fathah	quranic		الفَتْحَة				
font	Font	borrowed		الخَطّ				
ghunnah	Ghunnah	quranic		الغُنَّة	gunnah,ghunnah_sound	nasalisation		
glyph	Glyph	borrowed						
grapheme	Grapheme	borrowed						
hadr	Hadr	quranic		الحَدْر	hadar			
hamzah	Hamzah	quranic		الهَمْزَة				
hamzat_al_wasl	Hamzat al-Wasl	quranic		هَمْزَة الوَصْل	alif_wasl,wasl,wasla			
harakah	Harakah	quranic		الحَرَكَة		vowel_mark,diacritics		
hizb	Hizb	quranic		الحِزْب	hezb			
idgham	Idgham	quranic		الإِدْغَام	idghaam,idgam,edgham,idgham_bighunnah,idgham_bila_ghunnah,idgham_shafawi	assimilation,merging		
ijam	Ijam	quranic		الإِعْجَام				
ikhfa	Ikhfa	quranic		الإِخْفَاء	ikhfaa,ekhfa,ikhfa_haqiqi,ikhfa_shafawi	concealment		
imalah	Imalah	quranic		الإِمَالَة				
instructional_ayah_repetition	Instructional Ayah Repetition	standard		تَكْرَار الآيَات				
iqlab	Iqlab	quranic		الإِقْلَاب	iqlaab,qalb,iqlab_qalb,eqlab	conversion		
irab	Irab	quranic		الإِعْرَاب		grammatical_analysis		
ishmam	Ishmam	quranic		الإِشْمَام				
istiadhah	Istiadhah	quranic		الاِسْتِعَاذَة	istiaadhah,taawwudh			
izhar	Izhar	quranic		الإِظْهَار	izhaar,idhhar,idhar,ithhar,izhar_halqi,izhar_shafawi	clear_pronunciation		
juz	Juz	quranic		الجُزْء	juzu,juzz,para	part		
kasrah	Kasrah	quranic		الكَسْرَة				
khatmah	Khatmah	quranic		الخَتْمَة				
layout	Layout	borrowed		التَّخْطِيط				
lemma	Lemma	borrowed						
letter	Letter	borrowed		الحَرْف	harf			
letter_relation	Letter Relation	quranic		عَلَاقَة الحَرْفَيْن	alaqat_al_huruf,ilaqat_al_harfayn	relation_of_two_letters		
line	Line	borrowed		السَّطْر				
madani	Madani	quranic		مَدَنِيّ	madinan	medinan		
madd	Madd	quranic		المَدّ	mad,madd_rule,mudud,mudood,madd_type	prolongation,lengthening		
madd_al_badal	Madd al-Badal	quranic		مَدّ البَدَل	badal,mad_badal	substitution_madd		
madd_al_iwad	Madd al-Iwad	quranic		مَدّ العِوَض	madd_al_ewad,madd_ewad,iwad,mad_iwad	compensation_madd		
madd_al_lin	Madd al-Lin	quranic		مَدّ اللِّين	madd_leen,lin,leen,mad_leen	soft_madd		
madd_al_silah	Madd al-Silah	quranic		مَدّ الصِّلَة	silah,madd_silah_sughra,madd_silah_kubra,mad_silah	pronoun_madd		
madd_arid_li_al_sukun	Madd Arid lil-Sukun	quranic		المَدّ العَارِض لِلسُّكُون	madd_arid_lilsukun,madd_arid_lil_sukun,madd_arid,arid_lil_sukun,madd_aarid,madd_arid_lissukun	incidental_madd		
madd_lazim	Madd Lazim	quranic		المَدّ اللَّازِم	madd_laazim,lazim,madd_lazim_kalimi,mad_lazim	necessary_madd		
madd_munfasil	Madd Munfasil	quranic		المَدّ المُنْفَصِل	munfasil,madd_munfasil_jaiz,mad_munfasil	separated_madd		
madd_muttasil	Madd Muttasil	quranic		المَدّ المُتَّصِل	muttasil,madd_muttasil_wajib,mad_muttasil,madd_mutasil	connected_madd		
madd_tabii	Madd Tabee	quranic		المَدّ الطَّبِيعِيّ	madd_tabee,madd_asli	natural_madd		
maddah	Maddah	quranic		المَدَّة				
