# Members of closed sets: surahs, qiraat, rawis, riwayahs, turuq,
# ayah numbering systems and tajwid rulings.
#
# kind            the set the member belongs to
# code            the member's canonical code (rules 055-057)
# display, arabic as in concepts.tsv
# other_spellings names that no rule predicts
kind	code	display	arabic	other_spellings
ayah_numbering_system	basri	Basri Numbering	العَدّ البَصْرِيّ	basran,basri_numbering,basran_numbering,ayah_numbering_basri
ayah_numbering_system	dimashqi	Dimashqi Numbering	العَدّ الدِّمَشْقِيّ	damascene,dimashqi_numbering,shami,shami_numbering,ayah_numbering_shami,ayah_numbering_dimashqi
ayah_numbering_system	kufi	Kufi Numbering	العَدّ الكُوفِيّ	kufan,kufi_numbering,kufan_numbering,ayah_numbering_kufi
ayah_numbering_system	madani_first	First Madani Numbering	العَدّ المَدَنِيّ الأَوَّل	first_madani,first_madinan,first_madani_numbering,madani_awwal,ayah_numbering_madani_awwal,madani_first_numbering,ayah_numbering_madani_first
ayah_numbering_system	madani_last	Last Madani Numbering	العَدّ المَدَنِيّ الأَخِير	last_madani,last_madinan,last_madani_numbering,madani_akhir,ayah_numbering_madani_akhir,madani_last_numbering,ayah_numbering_madani_last
ayah_numbering_system	makki	Makki Numbering	العَدّ المَكِّيّ	makkan,makki_numbering,meccan,meccan_numbering,ayah_numbering_makki
qiraah	abu_amr	Abu Amr	أَبُو عَمْرو	abu_amr_al_basri,abu_amro,abu_umar
qiraah	abu_jafar	Abu Jafar	أَبُو جَعْفَر	abu_ja_far,abu_jaafar,abu_jafar_al_madani
qiraah	asim	Asim	عَاصِم	aasem,aasim,asim_al_kufi
qiraah	hamzah	Hamzah	حَمْزَة	hamzah_al_kufi,hamzah_al_zayyat
qiraah	ibn_amir	Ibn Amir	ابْن عَامِر	ibn_aamir,ibn_amir_al_shami
qiraah	ibn_kathir	Ibn Kathir	ابْن كَثِير	ibn_kathir_al_makki
qiraah	khalaf_al_ashir	Khalaf al-Ashir	خَلَف العَاشِر	khalaf_al_bazzar,khalaf_the_tenth
qiraah	kisai	Al-Kisai	الكِسَائِي	al_kisaai,kisa_i
qiraah	nafi	Nafi	نَافِع	naafi,nafi_al_madani,nafie
qiraah	yaqub	Yaqub	يَعْقُوب	ya_qub,yaqub_al_hadrami
rawi	abu_al_harith	Abu al-Harith	أَبُو الحَارِث	abu_al_haarith,abul_harith
rawi	bazzi	Al-Bazzi	البَزِّي	buzzi
rawi	duri	Al-Duri	الدُّورِي	douri,dury
rawi	hafs	Hafs	حَفْص	hafs_ibn_sulayman
rawi	hisham	Hisham	هِشَام	hishaam
rawi	ibn_dhakwan	Ibn Dhakwan	ابْن ذَكْوَان	ibn_thakwan,ibn_zakwan
rawi	ibn_jammaz	Ibn Jammaz	ابْن جَمَّاز	ibn_jamaz,ibn_jammaaz
rawi	ibn_wardan	Ibn Wardan	ابْن وَرْدَان	ibn_wardaan
rawi	idris	Idris	إِدْرِيس	
rawi	ishaq	Ishaq	إِسْحَاق	is_haq,ishaaq
rawi	khalaf	Khalaf	خَلَف	khalaf_al_bazzar,khalaf_ibn_hisham
rawi	khallad	Khallad	خَلَّاد	khalad,khallaad
rawi	qalun	Qalun	قَالُون	qalon,qaloun
rawi	qunbul	Qunbul	قُنْبُل	kunbul,qumbul
rawi	rawh	Rawh	رَوْح	rauh,rooh,rowh
rawi	ruways	Ruways	رُوَيْس	rowais,ruwais,rways
rawi	shubah	Shubah	شُعْبَة	abu_bakr_shubah,shu_bah
rawi	susi	Al-Susi	السُّوسِي	sousi
rawi	warsh	Warsh	وَرْش	warsh_al_misri
riwayah	abu_al_harith_an_kisai	Abu al-Harith an al-Kisai	أَبُو الحَارِث عَن الكِسَائِي	abul_harith_an_kisai
riwayah	bazzi_an_ibn_kathir	Al-Bazzi an Ibn Kathir	البَزِّي عَن ابْن كَثِير	albazzi
riwayah	duri_an_abu_amr	Al-Duri an Abi Amr	الدُّورِي عَن أَبِي عَمْرو	al_duri_an_abi_amr,doori_abu_amr,duri_abu_amr,duri_an_abi_amr
riwayah	duri_an_kisai	Al-Duri an al-Kisai	الدُّورِي عَن الكِسَائِي	al_duri_an_al_kisai,doori_kisai,duri_kisai
riwayah	hafs_an_asim	Hafs an Asim	حَفْص عَن عَاصِم	hafs_an_aasim
riwayah	hisham_an_ibn_amir	Hisham an Ibn Amir	هِشَام عَن ابْن عَامِر	
riwayah	ibn_dhakwan_an_ibn_amir	Ibn Dhakwan an Ibn Amir	ابْن ذَكْوَان عَن ابْن عَامِر	ibn_zakwan_an_ibn_amir
riwayah	ibn_jammaz_an_abu_jafar	Ibn Jammaz an Abi Jafar	ابْن جَمَّاز عَن أَبِي جَعْفَر	ibn_jammaz_an_abi_jafar
riwayah	ibn_wardan_an_abu_jafar	Ibn Wardan an Abi Jafar	ابْن وَرْدَان عَن أَبِي جَعْفَر	ibn_wardan_an_abi_jafar
riwayah	idris_an_khalaf_al_ashir	Idris an Khalaf	إِدْرِيس عَن خَلَف	idrees,idris_an_khalaf
riwayah	ishaq_an_khalaf_al_ashir	Ishaq an Khalaf	إِسْحَاق عَن خَلَف	ishaq_an_khalaf
riwayah	khalaf_an_hamzah	Khalaf an Hamzah	خَلَف عَن حَمْزَة	
riwayah	khallad_an_hamzah	Khallad an Hamzah	خَلَّاد عَن حَمْزَة	
riwayah	qalun_an_nafi	Qalun an Nafi	قَالُون عَن نَافِع	
riwayah	qunbul_an_ibn_kathir	Qunbul an Ibn Kathir	قُنْبُل عَن ابْن كَثِير	qumbul
riwayah	rawh_an_yaqub	Rawh an Yaqub	رَوْح عَن يَعْقُوب	rooh_an_yaqub
riwayah	ruways_an_yaqub	Ruways an Yaqub	رُوَيْس عَن يَعْقُوب	ruwais_an_yaqub
riwayah	shubah_an_asim	Shubah an Asim	شُعْبَة عَن عَاصِم	
riwayah	susi_an_abu_amr	Al-Susi an Abi Amr	السُّوسِي عَن أَبِي عَمْرو	al_susi_an_abi_amr,soosi,susi_an_abi_amr
riwayah	warsh_an_nafi	Warsh an Nafi	وَرْش عَن نَافِع	
surah	aal_imran	Aal Imran	آل عِمْرَان	aali_imran,al_imran,ali_imran,family_of_imran
surah	abas	Abas	عَبَس	
surah	adiyat	Adiyat	العَادِيَات	
surah	ahqaf	Ahqaf	الأَحْقَاف	
surah	ahzab	Ahzab	الأَحْزَاب	
surah	ala	Ala	الأَعْلَى	
surah	alaq	Alaq	العَلَق	
surah	anam	Anam	الأَنْعَام	
surah	anbiya	Anbiya	الأَنْبِيَاء	
surah	anfal	Anfal	الأَنْفَال	
surah	ankabut	Ankabut	العَنْكَبُوت	
surah	araf	Araf	الأَعْرَاف	
surah	asr	Asr	العَصْر	
surah	balad	Balad	البَلَد	
surah	baqarah	Baqarah	البَقَرَة	al_baqara,the_cow
surah	bayyinah	Bayyinah	البَيِّنَة	
surah	buruj	Buruj	البُرُوج	
surah	dhariyat	Dhariyat	الذَّارِيَات	
surah	duha	Duha	الضُّحَى	
surah	dukhan	Dukhan	الدُّخَان	
surah	fajr	Fajr	الفَجْر	
surah	falaq	Falaq	الفَلَق	
surah	fath	Fath	الفَتْح	
surah	fatihah	Fatihah	الفَاتِحَة	al_fatiha,the_opening,umm_al_kitab
surah	fatir	Fatir	فَاطِر	
surah	fil	Fil	الفِيل	elephant
surah	furqan	Furqan	الفُرْقَان	
surah	fussilat	Fussilat	فُصِّلَت	fussilat_ha_mim,ha_mim_al_sajdah
surah	ghafir	Ghafir	غَافِر	al_mumin,mumin
surah	ghashiyah	Ghashiyah	الغَاشِيَة	
surah	hadid	Hadid	الحَدِيد	
surah	hajj	Hajj	الحَجّ	
surah	haqqah	Haqqah	الحَاقَّة	
surah	hashr	Hashr	الحَشْر	
surah	hijr	Hijr	الحِجْر	
surah	hud	Hud	هُود	
surah	hujurat	Hujurat	الحُجُرَات	
surah	humazah	Humazah	الهُمَزَة	
surah	ibrahim	Ibrahim	إِبْرَاهِيم	
surah	ikhlas	Ikhlas	الإِخْلَاص	tawhid
surah	infitar	Infitar	الاِنْفِطَار	
surah	insan	Insan	الإِنْسَان	dahr,hal_ata
surah	inshiqaq	Inshiqaq	الاِنْشِقَاق	
surah	isra	Isra	الإِسْرَاء	bani_israil,subhan
surah	jathiyah	Jathiyah	الجَاثِيَة	
surah	jinn	Jinn	الجِنّ	
surah	jumuah	Jumuah	الجُمُعَة	
surah	kafirun	Kafirun	الكَافِرُون	
surah	kahf	Kahf	الكَهْف	
surah	kawthar	Kawthar	الكَوْثَر	
surah	layl	Layl	اللَّيْل	
surah	luqman	Luqman	لُقْمَان	
surah	maarij	Maarij	المَعَارِج	
surah	maidah	Maidah	المَائِدَة	
surah	maryam	Maryam	مَرْيَم	
surah	masad	Masad	المَسَد	abi_lahab,al_lahab,lahab
surah	maun	Maun	المَاعُون	
surah	muddaththir	Muddaththir	المُدَّثِّر	
surah	muhammad	Muhammad	مُحَمَّد	
surah	mujadilah	Mujadilah	المُجَادِلَة	
surah	mulk	Mulk	المُلْك	
