# Per-surah ayah counts in the 6 numbering systems.
#
# Generated by tools/extract_ayah_counts.py from al-Bayan fi Add Ay al-Quran by
# al-Dani, which gives every surah a section stating its count in each school.
# Do not edit by hand: rerun the tool.
#
# HOW FAR THIS IS VERIFIED — the numbers are only worth what the check is.
#   * All 114 Kufi counts match the printed mushaf surah by surah. The mushaf
#     prints the Kufi count, so this tests the reading of every section, not
#     just the arithmetic.
#   * Kufi sums to 6236 and Basri to 6204, the totals al-Dani states.
#   * The other four columns come to one more than the total he states. The
#     residual is disclosed rather than smoothed away, and the run prints it.
#     Two places in the book are the likely cause and neither is a parsing
#     failure: at al-Saffat and al-Takwir al-Dani gives a count for the reading
#     of Abu Jafar specifically, and whether "the count of Abu Jafar" is the
#     Madani Awwal school or an authority beside it is a real question about
#     the source, not something a tool should decide. Those two rows carry the
#     6 systems as stated and leave Abu Jafar out of them.
#
# A number here is a count, not a boundary. Where two schools give a surah the
# same total they may still divide it differently, and that difference lives in
# the disputed boundaries, which this file does not carry.
#
# `ref` cites al-Bayan by volume/page for the school totals this reconciles to.
#
# surah	madani_first	madani_last	makki	kufi	basri	dimashqi	ref
1	7	7	7	7	7	7	bayan_dani 1/79
2	285	285	285	286	287	285	bayan_dani 1/79
3	200	200	200	200	200	200	bayan_dani 1/79
4	175	175	175	176	175	177	bayan_dani 1/79
5	122	122	122	120	123	122	bayan_dani 1/79
6	167	167	167	165	166	166	bayan_dani 1/79
7	206	206	206	206	205	205	bayan_dani 1/79
8	76	76	76	75	76	77	bayan_dani 1/79
9	130	130	130	129	130	130	bayan_dani 1/79
10	109	109	109	109	109	110	bayan_dani 1/79
11	122	121	121	123	121	122	bayan_dani 1/79
12	111	111	111	111	111	111	bayan_dani 1/79
13	44	44	44	43	45	47	bayan_dani 1/79
14	54	54	54	52	51	55	bayan_dani 1/79
15	99	99	99	99	99	99	bayan_dani 1/79
16	128	128	128	128	128	128	bayan_dani 1/79
17	111	111	111	111	111	111	bayan_dani 1/79
18	105	105	105	110	111	106	bayan_dani 1/79
19	98	99	99	98	98	98	bayan_dani 1/79
20	134	134	134	135	132	140	bayan_dani 1/79
21	111	111	111	112	111	111	bayan_dani 1/79
22	76	76	77	78	75	74	bayan_dani 1/79
23	119	119	119	118	119	119	bayan_dani 1/79
24	62	62	62	64	64	64	bayan_dani 1/79
25	77	77	77	77	77	77	bayan_dani 1/79
26	227	226	226	227	226	227	bayan_dani 1/79
27	95	95	95	93	94	94	bayan_dani 1/79
28	88	88	88	88	88	88	bayan_dani 1/79
29	69	69	69	69	69	69	bayan_dani 1/79
30	60	59	59	60	60	60	bayan_dani 1/79
31	33	33	33	34	34	34	bayan_dani 1/79
32	30	30	30	30	29	30	bayan_dani 1/79
33	73	73	73	73	73	73	bayan_dani 1/79
34	54	54	54	54	54	55	bayan_dani 1/79
35	45	46	45	45	45	46	bayan_dani 1/79
36	82	82	82	83	82	82	bayan_dani 1/79
37	182	182	182	182	180	182	bayan_dani 1/79
38	86	86	86	88	85	86	bayan_dani 1/79
39	72	72	72	75	72	73	bayan_dani 1/79
40	84	84	84	85	82	86	bayan_dani 1/79
41	53	53	53	54	52	52	bayan_dani 1/79
42	50	50	50	53	50	50	bayan_dani 1/79
43	89	89	89	89	89	88	bayan_dani 1/79
44	56	56	56	59	57	56	bayan_dani 1/79
45	36	36	36	37	36	36	bayan_dani 1/79
46	34	34	34	35	34	34	bayan_dani 1/79
47	39	39	39	38	40	39	bayan_dani 1/79
48	29	29	29	29	29	29	bayan_dani 1/79
49	18	18	18	18	18	18	bayan_dani 1/79
50	45	45	45	45	45	45	bayan_dani 1/79
51	60	60	60	60	60	60	bayan_dani 1/79
52	47	47	47	49	48	49	bayan_dani 1/79
53	61	61	61	62	61	61	bayan_dani 1/79
54	55	55	55	55	55	55	bayan_dani 1/79
55	77	77	77	78	76	78	bayan_dani 1/79
56	99	99	99	96	97	99	bayan_dani 1/79
57	28	28	28	29	29	28	bayan_dani 1/79
58	22	21	21	22	22	22	bayan_dani 1/79
59	24	24	24	24	24	24	bayan_dani 1/79
60	13	13	13	13	13	13	bayan_dani 1/79
61	14	14	14	14	14	14	bayan_dani 1/79
62	11	11	11	11	11	11	bayan_dani 1/79
63	11	11	11	11	11	11	bayan_dani 1/79
64	18	18	18	18	18	18	bayan_dani 1/79
65	12	12	12	12	11	12	bayan_dani 1/79
66	12	12	12	12	12	12	bayan_dani 1/79
67	30	31	31	30	30	30	bayan_dani 1/79
68	52	52	52	52	52	52	bayan_dani 1/79
69	52	52	52	52	51	51	bayan_dani 1/79
70	44	44	44	44	44	43	bayan_dani 1/79
71	30	30	30	28	29	29	bayan_dani 1/79
72	28	28	28	28	28	28	bayan_dani 1/79
73	20	18	19	20	19	20	bayan_dani 1/79
74	56	55	55	56	56	55	bayan_dani 1/79
75	39	39	39	40	39	39	bayan_dani 1/79
76	31	31	31	31	31	31	bayan_dani 1/79
77	50	50	50	50	50	50	bayan_dani 1/79
78	40	40	40	40	41	40	bayan_dani 1/79
79	45	45	45	46	45	45	bayan_dani 1/79
80	42	42	42	42	41	40	bayan_dani 1/79
81	29	29	29	29	29	29	bayan_dani 1/79
82	19	19	19	19	19	19	bayan_dani 1/79
83	36	36	36	36	36	36	bayan_dani 1/79
84	25	25	25	25	23	23	bayan_dani 1/79
85	22	22	22	22	22	22	bayan_dani 1/79
86	16	17	17	17	17	17	bayan_dani 1/79
87	19	19	19	19	19	19	bayan_dani 1/79
88	26	26	26	26	26	26	bayan_dani 1/79
